year,code,name,TA,PDE,Total
2019,1001,Προεδρία της Δημοκρατίας,3447000,0,3447000
2019,1003,Βουλή των Ελλήνων,141850000,1000000,142850000
2020,1004,Προεδρία της Κυβέρνησης,0,0,0
2019,1007,Υπουργείο Εσωτερικών,2582827000,146000000,2728827000
2019,1009,Υπουργείο Εξωτερικών,259200000,3000000,262200000
2019,1011,Υπουργείο Εθνικής Άμυνας,3358600000,30000000,3388600000
2019,1015,Υπουργείο Υγείας,3824312000,60000000,3884312000
2019,1017,Υπουργείο Δικαιοσύνης,650284000,7000000,657284000 
2019,1019,Υπουργείο Παιδείας και Θρησκευμάτων,4962000000,565000000,5527000000
2019,1021,Υπουργείο Πολιτισμού και ΑΘλητισμού,305000000,44000000,349000000
2019,1023,Υπουργείο Οικονομικών,659705380000,22000000,659727380000 
2019,1029,Υπουργείο Αγροτικής Ανάπτυξης και Τροφίμων,258430000,852000000,1110430000
2019,1031,Υπουργείο Περιβάλλοντος και Ενέργειας,83757000,420000000,503757000
2019,1033,Υπουργείο Εργασίας και Κοινωνικών Υποθέσεων,18533141000,340000000,18873141000
2019,1035,Υπουργείο Ανάπτυξης και Επενδύσεων,110207000,2173000000,2283207000
2019,1039,Υπουργείο Υποδομών και Μεταφορών,539002000,1804000000,2343002000
2019,1041,Υπουργείο Ναυτιλίας και Νησιωτικής Πολιτικής,339100000,46000000,385100000
2019,1045,Υπουργείο Τουρισμού,46100000,23000000,69100000
2019,1053,Υπουργείο Ψηφιακής Διακυβέρνυσης,58820000,30000000,88820000
2019,1055,Υπουργείο Μετανάστευσης και Ασύλου,43794000,35000000,78794000
2019,1057,Υπουργείο Προστασίας του Πολίτη,2113631000,61000000,2174631000
2019,1059,Υπουργείο Δοικητικής Ανασυγκρότησης,44092000,3000000,262200000
2019,1901,Αποκεντρωμένη Διοίκηση Αττικής,20056000,0,20056000
2019,1902,Αποκεντρωμένη Διοίκηση Θεσσαλίας - Στερεάς Ελλάδας,27508000,0,27508000
2019,1903,Αποκεντρωμένη Διοίκηση Ηπείρου - Δυτικής Μακεδονίας,18484000,0,18484000
2019,1904,Αποκεντρωμένη Διοίκηση Πελοποννήσου - Δυτικής Ελλάδας και Ιονίου,33397000,0,33397000
2019,1905,Αποκεντρωμένη Διοίκηση Αιγαίου,9732000,0,9732000
2019,1906,Αποκεντρωμένη Διοίκηση Κρήτης,11075000,0,11075000
